i,phi,theta
353,12.36,131.0
354,11.18,129.0
355,9.09,127.0
356,4.54,126.0
357,4.27,125.0
358,2.64,123.0
359,2.82,122.0
360,4.41,124.0
361,4.7,125.0
362,2.35,129.0
363,1.68,125.0
364,0.84,124.0
365,0.42,123.0
366,0.21,117.0
367,0.6,108.0
368,10.8,105.0
369,10.9,102.0
370,7.45,99.0
371,12.73,92.0
372,7.86,82.0
373,12.43,76.0
374,11.22,69.0
375,10.11,62.0
376,7.05,57.0
377,8.03,54.0
378,11.51,52.0
379,12.26,49.0
380,12.13,47.0
381,14.06,44.0
382,15.03,40.0
383,27.52,35.0
384,21.26,29.0
385,21.63,25.0
386,15.31,22.0
387,7.66,14.0
388,3.83,359.0
389,1.91,356.0
390,6.46,353.0
391,8.23,351.0
392,11.61,350.0
393,14.81,350.0
394,18.9,350.0
395,20.45,348.0
396,20.73,346.0
397,20.86,343.0
398,20.43,341.0
399,22.72,339.0
400,31.36,339.0
401,29.18,339.0
402,34.59,338.0
403,37.29,336.0
404,38.65,333.0
405,39.32,330.0
406,31.66,326.0
407,26.33,323.0
408,22.17,320.0
409,16.08,317.0
410,8.04,314.0
411,10.02,311.0
412,11.01,308.0
413,16.01,306.0
414,17.0,305.0
415,21.5,305.0
416,22.75,304.0
417,31.38,304.0
418,25.69,304.0
419,21.34,303.0
420,10.67,303.0
421,5.34,301.0
422,14.67,297.0
423,19.83,295.0
424,29.92,293.0
425,34.96,292.0
426,37.48,291.0
427,38.74,289.0
428,39.37,288.0
429,39.68,285.0
430,39.84,281.0
431,19.92,277.0
432,23.46,274.0
433,22.23,271.0
434,20.12,268.0
435,20.56,265.0
436,20.78,262.0
437,20.89,259.0
438,19.94,257.0
439,19.47,255.0
440,17.74,254.0
441,16.37,252.0
442,11.68,250.0
443,11.34,249.0
444,7.67,248.0
445,5.84,248.0
446,8.92,249.0
447,7.96,250.0
448,23.98,250.0
449,22.49,248.0
450,21.74,245.0
451,18.37,242.0
452,14.19,238.0
453,14.59,234.0
454,9.8,228.0
455,11.4,223.0
456,11.7,218.0
457,11.35,214.0
458,9.17,211.0
459,7.09,207.0
460,3.54,202.0
461,6.77,199.0
462,3.39,196.0
463,4.19,194.0
464,9.1,192.0
465,9.05,190.0
466,4.52,188.0
467,4.76,186.0
468,12.88,184.0
469,10.94,182.0
470,5.47,181.0
471,6.24,180.0
472,6.62,178.0
473,5.81,175.0
474,5.9,173.0
475,6.45,171.0
476,3.23,169.0
477,8.11,168.0
478,9.56,167.0
479,9.28,166.0
480,8.14,165.0
481,9.07,164.0
482,10.53,164.0
483,7.27,164.0
484,5.63,163.0
485,5.82,161.0
486,2.91,158.0
487,3.95,156.0
488,1.98,155.0
489,4.49,155.0
490,22.24,159.0
491,20.12,164.0
492,22.06,167.0
493,21.03,169.0
494,19.52,170.0
495,16.76,169.0
496,15.88,166.0
497,12.44,160.0
498,6.22,156.0
499,9.11,154.0
500,11.55,152.0
501,11.78,151.0
502,12.89,150.0
503,10.94,148.0
504,8.97,147.0
505,11.49,146.0
506,8.74,144.0
507,7.37,141.0
508,7.19,139.0
509,8.09,136.0
510,7.05,133.0
511,6.52,131.0
512,4.76,129.0
513,4.88,127.0
514,5.94,125.0
515,8.97,123.0
516,9.49,121.0
517,13.24,120.0
518,13.12,119.0
519,13.56,117.0
520,13.28,115.0
521,16.64,112.0
522,13.32,109.0
523,16.66,105.0
524,28.33,102.0
525,26.67,99.0
526,21.83,96.0
527,21.42,93.0
528,10.71,90.0
529,8.85,85.0
530,4.43,82.0
531,5.21,79.0
532,11.61,76.0
533,15.3,74.0
534,8.15,71.0
535,11.58,69.0
536,12.79,67.0
537,12.39,65.0
538,26.2,62.0
539,17.6,60.0
540,10.8,58.0
541,15.4,57.0
542,19.2,55.0
543,16.6,53.0
544,14.8,50.0
545,12.9,47.0
546,26.45,44.0
547,13.22,40.0
548,10.11,35.0
549,5.06,32.0
550,2.53,31.0
551,1.26,30.0
552,0.63,31.0
553,6.32,38.0
554,3.16,51.0
555,1.58,68.0
556,5.29,98.0
557,2.64,147.0
558,1.32,221.0
559,0.66,280.0
560,0.33,143.0
561,0.17,349.0
562,0.08,349.0
563,0.04,349.0
564,0.02,348.0
565,0.01,348.0
566,0.01,348.0
567,0.0,348.0
